id,date,month,description,name,location,phase,type,html,date_night,month_night,is_night,priority,important,old_name,processed
12,11,1,"2nd Imam, Karbala, Iraq.","Suyum, Imam Husain SA",Karbala,NIGHT,1,,,,False,,False,Chehlum Imam Husain SA,True
13,14,1,,Urs Maulai Lukmanji bin Mulla Alibhai Saheb AQ,Wankaner,DAY,URS,<p>N/A</p>,13,2,True,,False,Urs Maulai Lukmanji bin Mulla Alibhai Saheb AQ,
14,15,1,,Urs Maulai Nooruddin Saheb AQ,Dongaon,DAY,URS,<p>N/A</p>,14,2,True,,False,Urs Maulai Nooruddin Saheb AQ,
15,16,1,3rd al-Dai al-Mutlaq,"Urs Mubarak, Syedna Hatim bin Syedna Ibrahim RA","Lahab, Yemen",DAY,URS,1, baherat, karaamat, zaheraat chhe. Mumineen aap si ehni her ummid paye chhe.</li><li>Aap ni shaan dekhi aksar logo aap ni taraf khenchaya. Hamdan ane Hamir qabila ye aap ni tabaat kidi, ane aap ne Kokaban quila na malik banaya. Sana'a na sultan ne hasad thayo, ane Kokaban per gaalib thayo.</li><li>Aap Kokaban si nikli Haraaz ni taraf Lulua, Shoaf ane Zohara thata huva, Hutaib pohncha, ane Hutaib aap na qabza ma aayu. Aap akhir tak Hutaib maj qaim rahya.</li><li>Dai Saba bin Yusuf aap na Qaaid tha. Aap ye Luhab ane Shibam misal na quila fateh kida. Dushmano ye aap ne dhoka si Shaheed kida. (Aap ni qabr Sami Kariyah ma chhe.)</li><li>Hutaib Mubarak na niche ek mohti kahf (cave) chhe, jahan aap Mumineen ne sabaq parhavta.</li><li>Aap ni Ilmi khidmat azeem chhe. Aap ye ghana kitab likha chhe. Mashhoor kitabo ma: Majalise Hatimiya, Tanbiyul Gafeleen, Shumuishul Zaherah vagaira chhe.</li><li>Aap na Mazoon Syedna Mohammed bin Taher (r.a.) hata. Aap Bavisa na saheb chhe. Aap na Vafat (586H.) na baad , Syedna Ali bin Mohammed bin Valid Mazoon na rutba ma qaem thaya.</li><li>Syedna Hatim (r.a.),"16 Moharram ul Haram 596 H. (6 Nov. 1199) ma Vafat thaya. Aap ni qabr mubarak Hutaib ma chhe.</li></ul>""",15,0,True,,True,Urus Syedna Hatim bin Syedna Ibrahim (AQ),True
16,17,1,3rd Imam,Shahadat Imam Ali Zainulabedin (SA),"Medina, Saudi Arabia",DAY,SHAHADAT,,,,True,,True,,True
17,17,1,39th al-Dai al-Mutlaq,"Urs Mubarak, Syedna Ibrahim Vajihuddin RA",Ujjain,DAY,URS,"<ul><li>Syedna Ibrahim Vajihuddin&nbsp;(r.a.) Bava Mulla Khan Saheb ni nasal ma si chhe.</li><li>Aap ni viladat 1101 H. ma thai. Aap na Bavaji Syedi Abdulqadar Hakimuddin Saheb a.q. aap ne har safar ma saath raakhta.</li><li>21 varas ni umare,1, Syedi Abdulqadar Hakimuddin Saheb a.q.&nbsp;ye aap ne Dai ni hajrat ma mokla. Aap na saath Syedi Lukmanji tha. Mehnat na waqt, aap ye Syedna Kalimuddin (r.a.) ane Syedna Nooruddin (r.a.) ni ghani khidmat kidi.</li><li>Syedi Abdulqadar Hakimuddin (a.q.) jivare Dawat vaste bija shaher ma padhare to aap ne potani jagah ma muki ne padhare. Aap aap na bavaji saheb na hamshikal ane ham misal tha.</li><li>1143 H. ma Ujjain ma qahat [famine] paro. Logo na-ummid thai gaya. Syedna Vajihuddin Saheb Saheb (r.a.) Mumineen ne lai ne Sipra nadi [river] par padhara. Namaz parhi, doa farmavi. Khuda ye aap ni doa ni barkat na sabab barish [rain] nazil kida. Aam logo aaj bhi te zikar kare chhe.</li><li>1158 H. ma Gadeere Khum ni majlis ma aap ye aap na farzand Syedna Hebatullah Al Moayyed Fi-ddin (r.a.) par nas farmavi.</li><li>1168 H. aap bimar thaya. 68 varas ni umare,17 Moharram ul Haram Aap Ujjain ma vafat thaya.</li><li>Najmee Mazar-Ujjain ma aap madfoon chhe.</li></ul>",16,1,True,,False,Urs Syedna Ahmed Hamiduddin Kirmani RA,True
18,17,1,Pune,Urs Mulla Mohammedali bin Syedi Najam Khan,Pune,DAY,URS,"<ul><li>Mulla Mohammedali a.q. Syedna Feerkhan Shujauddin r.a. na Pota chhe.</li><li>Syedna Qutbuddin shaheed r.a. ni shahadat na baad, jivare Ahmedabad si Aurangjeb je 900 Mumineen ne qaid kari ne Ahmednagar taraf lai gayo hato,1, to Angarshah ye mulla mohammedbhai ne potani tekri paraj dafan kida.</li><li>Aaj bhi te jagah [ jahan aap&nbsp;madfoon chhe] Poona shaher ma Angarsha ni Tekri si mashhoor chhe.</li><li>1207 H. ma 42ma Dai, Dail Ajal Syedna Yusuf Najmuddin r.a. saheb Poona tashreef laya hata, tivare qabar ni tehqeeq kari ne takhti lagavi hati.</li></ul>",16,1,True,,False,Urs Mulla Mohammedali bin Syedi Najam Khan,
19,17,1,,Urs Maulai Masud bin Sulaiman,Dhrangdhra,DAY,URS,<p>N/A</p>,16,2,True,,False,Urs Maulai Masud bin Sulaiman,
20,17,1,,Urs Saat Shaheed Sahebo,Mujpur,DAY,URS,<p>N/A</p>,16,2,True,,False,Urs Saat Shaheed Sahebo,
21,18,1,Jamnagar,Urus Shahid Gani Pir Ibne Dawoodji,"Jamnagar, India",DAY,URS,"<ul><li>Aap sada,1, parhezgar ane business ma imandar mumin hata.</li><li>Aap&nbsp;gamdao [villages]&nbsp;ma fari ne chudio [Bangles] vechta., ane bairao na naak-kan [ear-nose] tonchvano [pierce] business karta.</li><li>Zaman Moghul Badshaha Aurangzeb no hato. Mumineen par tarah tarah na zulm thai rahya hata. Jamnagar na pase Kalavar na najdeek Murila gaam hatu. Je aaj Ganipir kehvay chhe, vahan aap ne shaheed karela.</li><li>Aaj vahan Alishaan mazar chhe. Mumineen vahan hajat lai ne aave chhe, te tamam thay chhe. Mazar no mahol ghano khushnuma chhe.</li></ul>",17,1,True,,False,,
22,23,1,"Denmal, India.",Urs Syedi Hasanfeer Shaheed AQ,Denmal,DAY,URS,"<ul><li>Syedi va Moulai Hasanfeer Shahid (A.Q) Moulai Abdullah (Khambat) na pota che.</li><li>Moulai Hasanfeer Saheb (A.Q) ghana Aalim tha. Ilme nujum,1, ilme ramal vagere tamam ulum ma aap mahir tha.</li><li>Patan na sultan Muzaffarshah ye aap ne bulaya. Quran shareef ni ek ayat, ke soy na kana ma si unt (camel) kem jay, ehno javab talab kido. Aap ye hikmat se te ayat samjhavi. Sultan ye khush thai ne aap ne Denmal ni jagir aap dedi.</li><li>Rome na badshah ye ""Teen putli"" (3 dolls) mokli. Teene ek surkhi (Same). Kai putli ehma afzal, te durbar ma koi samjhavi saku nahi. Aap ye vahan bhi aap na ilmni shaan zaher kidi. Sultan ye aap ni karamat ane izaat kidi. Darbariyo ane mukhalefeen hasad ni aag ma salgi gaya.</li><li>Sultan Mehmoodshah na zaman ma (23rd Moharram ul-Haram 795H) aap ne Denmal pase [Patan-Gujrat] na najdeek shaheed kida. Aap na gulam ane camel bhi aap na sathe shaheed thaya. Ek popat ye aa khabar pohnchavi. Beve ni qabr aap na Qubba maj che.</li><li>Aap ni nasal ma Doat kiram ane Hudud Fozola thaya che. 31 ma Dai Syedna Qasim Zainuddin R.A ane Moulai Nooh R.A (Madfoon-Qutbi Mazar, Ahemdabad) aap ni nasal ma si che.</li><li>Aqa Moula TUS ne aaram vaste aa jagah ghani pasand che, ane aap varamvar yahan padhare che.</li></ul>",22,1,True,,False,Urs Syedi Hasanfeer Shaheed AQ,
23,23,1,,Urs Noor Bibi Umme Syedna Yusuf Najmuddin,Dandigam,DAY,URS,<p>N/A</p>,22,2,True,,False,,
24,23,1,,Urs Fatema Bibi Ukhte Syedna Yusuf Najmuddin,Dandigam,DAY,URS,<p>N/A</p>,22,2,True,,False,,
25,24,1,,Urs Syedi Dada Sulemanji,"Bundi, Kota",DAY,URS,<p>N/A</p>,24,1,True,,False,,
26,27,1,"Taherabad, India.",Urs Syedi Fakhruddin Shaheed AQ,"Taherabad, Galiyakot",DAY,URS,1, namaz ni halat ma teer ane bhaala si dushmano ye aap ne shaheed kida chhe. Aap na ashaab ma si bhi ghana mara gaya chhe.</li><li>Aa khabar Galiakot na Mumineen ne pohnchi. Aap ne vahanj dafan kida. Aa jaga haal Taherabad si mashhoor chhe.&nbsp;</li><li>Galiakot gaam ma aap nu ghar, masjid ane kuvo aaj bhi maujud chhe.</li><li>Aap na mojeza be-shumaar chhe. Qafila pachhi qafila aap ni ziyarat no qasad kare chhe, ane har koi apni murad hasil kare chhe. Aap na ghar ni pase beri bhi tute chhe.</li><li>Aap ni nasal ma Doat, Mazooneen, Mukasereen ane Hudud Fozola thaya chhe.&nbsp;Al Hayyul Muqaddas Syedna Mohammed Burhanuddin Aqa (RA)&nbsp;aap ni nasal ma si chhe.</li><li>Aap na qubba ni bahar sahan ma aap na farzand Moulai Dawoodbhai Saheb ni qabr ek chhatri ma chhe. Jamni baju, syedi Qayyumbhai Saheb najle Syedna Taiyab Zainuddin Saheb, [vafat: 23 Shawwal," 1352 H.] ane dabi taraf Mulla Taiyebji Moatibhai [ vafat: 23 Rajab 1340 H.] ni qabr chhe</li></ul>""",26,0,True,,True,Urus Syedi Fakhruddin Shahid (AQ),
27,28,1,,Urs Syedi Musanji bin Taj AQ,Baroda,DAY,URS,<p>N/A</p>,27,2,True,,False,,
28,29,1,,Urs Maulai Hasan Bin Maulai Adam AQ,Ahmedabad,DAY,URS,<p>N/A</p>,28,2,True,,False,,
29,1,2,10th al-Dai al-Mutlaq ,"Urs Mubarak, Syedna Ali bin Syedi Husain RA","Lahab, Yemen",DAY,URS,1, Moulai Husain a.q. na farzand ane 6th ma Dai, Syedna Ali bin Hanzala na pota chhe.</li><li>Ilm ma aap si koi qadam na milave sake. Har qism na ilm ma aap maheer hata. Fazal ane Zohad ma aap ni misal koi nohtu. Ilm Nujum [astrology] ma khas maaheer [ expert] hata.</li><li>Syedna Taher Saifuddin r.a. aap ni zikar famavat hua ek risala ma farmave chhe ke Syedna Ali r.a. adal [justice] ane tauheed [ belief in one god] na ilm ma bhi maheer hata. Je aap ni najdeek aave tehne hiDAYat mili jay.</li><li>Aap na Jad [ grandfather] ni misal aap bhi ilm-ul-Hayaat ane ilm-un-Nujum ma maheer tha. Hojaj na ilm ma koi aap no muqablo kari saktu nahin.</li><li>Har mazhab na logo aap ni samne besi adab si vaat karta, ane potana mushkil sawalo na javab hasil karta.</li><li>Raat din aap Khuda ni ta'at ane bandagi ma guzarta. Logo na qazia [ problems] ma haq [truth]&nbsp;si feslo farmavta.</li><li>Aap ye logo ne Ahle Bayt ni valayat par jame kida, ane shariat ni pabandi vaste ghanu samjhayu. Logo ne masjid ma jame kari waez si temna dil ilm si tar kari deta.</li><li>Aap 1 Safar-ul-Muzaffar, 686 H. 17 march 1287 A.D. vafat thaya.</li><li>Aap ni Qabr Sana'a ma chhe," magar jagah maaruf nathi. Dawat na arsh par aap teen saal jeva rahya.</li></ul>""",30,0,True,,False,Urs Syedna Yahya bin Syedna Lamak RA,True
30,3,2,18th al-Dai al-Mutlaq,"Urs Mubarak, Syedna Ali Shamsuddin bin Syedna Abdullah RA",Surat,DAY,URS,"<ul><li>Syedna Ali Shamsuddin Saheb (R.A) ghani chhoti umar ma Ibadat,1, Ilm, Jehad ane Fazal ma kamaal ne pohncha tha.</li><li>Aap na ayyam mehnat ane imtehan na hata. Aap na Zaman ma Hind ma Jafar ni fitnat shuru thai.</li><li>Aap Zimarmar ma muqeem thaya, magar Zaidio ye zulm kido, tarah tarah si aap ne sataya, magar aap sabar karta rahya. Aakhare Dawat ni ane Mumineen ni hifajat vaste Zimarmar no qillo sonpi ne aap Hisne Afeda padhara, ane vahan si chhelle aap Haraz padhara. Vahan si aap ye Shibam java no irado kido, jahan aap na farzand Syedna Idris (r.a.) muqeem hata.</li><li>Aap Shibam vaste nikla. Zamana ye ghano zulm kido tho, Jism ma ghani kamjori aavi gai thi. Aap aap na bhai Izzuddin Maad (a.q.) na saathe Shareqa utra, ane yahan&nbsp;3 Safarul muzaffar 832 H. ma Khamis na din zawal na waqt aap wafat thaya.</li><li>Syedna&nbsp;Idris ne aap na wafat ni khabar pohnchi, aap te waqt sakhat barish ane havaa na bavajud Shareqa padhara. Haraz na gamo ma si logo mohti ginti ma aaya. ane ghano matam thayo.</li><li>Aap ni qabr mubarak Shareqa ma chhe. Aap na jivar ma aap na Mazoone Dawat, Syedi Ali bin Abdullah Shebani (a.q.) ane Mazoone Dawat Syedi Mohammed Asaduddin (a.q.) bin Idris bin Syedna Abdullah (r.a.) ni quboor chhe.</li><li>Al Hayyul Muqaddas Syedna Mohammed Burhanuddin Aqa (RA)&nbsp;ye aap ni qabr par ghana nafees Qubba banaya chhe, je Rozat Tahera ni mini copy jeve lage chhe. Aap ye 1428 ma iftetah farmayo.&nbsp;Qubba shareef no mahol ghano nafees chhe.</li></ul>",2,2,True,,False,Urs Syedi Abdeali Mohiyuddin bin Syedna Abdulhusain Husamuddin AQ,True
31,4,2,41st al-Dai al-Mutlaq,"Urs Mubarak, Syedna Abduttaiyeb Zakiyuddin RA",Burhanpur,DAY,URS,"<ul><li>Syedna Abdul Tayeb Zakiyuddin R.A. Daot-e-Badriyeen na chhatha (6th) Dai chhe.</li><li>Aap ni viladat 1147H. 1734 A.D wankaner ma thai.</li><li>Aap na bavaji saheb Syedna Badruddin R.A vafat thaya,1, ane aap ye waez kidi. Ane Mumineen na aqaaed na haq na deen par jamavi dida.</li><li>Syedna Moayyed R.A. na baad aap dawat na arsh par mustawi tahya. Har khamees (thrusDAY) na din aap waez farmavta. Ashura na din Lagan (Rozu) vaste app ghani taqeed farmavta.</li><li>Fajr ni namaz na baad ""Taqarrub"" ni doa ""Yaseen"" ane ""innallah"" parhvani rasam aap ye jaari kidi. Te siva biji ghani rasam aap ye zinda kidi.</li><li>Aap&nbsp;4th Safar-ul-Muzaffar 1200 H . Burhanpur ma vafat thaya chhe.</li><li>Aap na Qubba aap na farzand 42ma Dai, Syedna Yusuf Najmuddin R.A. ye banaya chhe.</li></ul>",3,2,True,,False,Urs Syedi Abdul Qadir Hakimuddin AQ,True
32,6,2,"Surat, India.",Urs Syedi Abdeali Imaduddin bin Shaikh Jeeva bhai AQ,Surat,DAY,URS,"<ul><li>Syedi Abdeali Emaaduddin A.Q. ye panch (5) doat ni khidmat kidi chhe.</li><li>Syedna Abdeali Saifuddin R.A saheb ye Syedna Izuddin R.A ane Syedna Zainuddin R.A na saath Syedi Abdeali Emaaduddin ne ilm intekhab kidu. Aap allama-e-zaman chhe. Aap na upar Syedna ni Khaas nazar hati.</li><li>Syedna Zainuddin R.A ye&nbsp;Syedna Mohammed Badruddin R.A ane Syedna AbdulQadir Najmuddin R.A ne aap ni taraf sonpa. Aap ye beve sahebo ne taiyar kida. ilm ni amanat ne nakal kidi.</li><li>Syedi Abdeali Emaaduddin A.Q. ye ghani madeh likhi chhe. Arabi,1, ""Lubbul Lubaab"" , aap na ala'a kitab chhe.</li><li>Aap ye 47ma dai&nbsp;Syedna AbdulQadir Najmuddin R.A ni 15yrs khidmat kidi. Aap ne&nbsp;Syedna AbdulQadir Najmuddin R.A ye Mukasir na rutba ma qayem kida.</li><li>Syedna AbdulQadir Najmuddin R.A jivare Haj par padhara, te waqt aap par nas kari ne padhara.</li><li>Te arsa ma&nbsp;Syedi Abdeali Emaaduddin A.Q. ye ek puri waez ""Bismillah"" ni maani par kidi, je bayan ghanu shaan nu hatu.</li><li>48ma Dai, Syedna Husamuddin R.A ye bhi Syedi Emaaduddin si ilm hasil kidu che.</li><li>Aap&nbsp;Syedna AbdulQadir Najmuddin R.A na zaman ma vafat thaya. Aap ni umar 71 varas ni hati.</li><li>Syedna AbdulQadir Najmuddin R.A ye aap ne&nbsp;Syedna Zainuddin R.A na jivar ma dafan kida. Qabr ma&nbsp;Syedna AbdulQadir Najmuddin R.A, Aap khud utra hata, ane famava laga ke mane mara bavaji saheb ni lahad chumvanu sharaf thayu.</li></ul>",5,2,True,,False,Urs Syedi Abdeali Imaduddin bin Shaikh Jeeva bhai AQ,
33,8,2,,Urs Syedna al-Khattab bin Hasan al-Hamdani AQ,Yemen,DAY,URS,"<ul><li>Moulaya Khattab bin Hasan Hamdani A.Q ni viladat 440 H. ma thai. Ej Saal ma Moulatena Hurratul Maleka (r.a.) ni viladat thai.</li><li>Aap ""Saheb-e-Ashraaf"" tha, allama benazir tha. Aap ye Haqeeqat na kitab likha chhe.</li><li>Pehla Dai,1,7,1,True,,False,,
34,9,2,Surat""",Urs Syedi Tayyeb bs Zainuddin bin Syedna Mohammed Burhanuddin AQ,Surat,DAY,URS,"<ul><li>Syedi Taiyebbhai Saheb Zainuddin a.q., 49ma Dai,1, Dail ajal Syedna Taher Saifuddin Saheb r.a. na aap shafeeq bhai chhe.</li><li>Syedi Abdeali Mohyuddin a.q. na najdeek aap ane Syedna Taher Saifuddin Saheb r.a. ye ibtedai Taalim hasil kidi chhe.</li><li>Syedna Burhanuddin Saheb ye beve sahebo ne Hadiyat ma rafe kida, ane laqab ataakida.</li><li>Syedna Abdulla Badruddin Saheb (r.a.) ye aap ne Mukasir na rutba ma qayam kida.</li><li>1333 H. ma 50ma Dai Syedna Badruddin Saheb (r.a.) bimari na sabab Waaz na kari saka, te waqt aap ne Waaz na farman kida. Aap bhi bimar tha, magar Dai na farman ne mathe uthavi aap ye Waaz kidi.</li><li>Ek mahina baad navjavani ma aap wafat thaya. Syedna Saifuddin Saheb (r.a.) te waqt Dumas ma hata. Aap na vafat no Syedna ne ghano sadmo pohncho che.</li><li>Aap ni qabr Qubba Izziyah ma aap na Ustad Syedi Mohyuddin Saheb (a.q.) na baju ma chhe.</li></ul>",8,1,True,,False,Urs Syedi Tayyeb bs Zainuddin bin Syedna Mohammed Burhanuddin AQ,
35,12,2,,Urs Syedna Ahmed Hamiduddin Kirmani RA,Misr,DAY,URS,<p>N/A</p>,11,3,True,,False,Urs Syedna Ahmed Hamiduddin Kirmani RA,
